route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
130,regular,BC,Beddington,Transport UK,SD,"Thornton Heath, Parchmore Road",New Addington,Parchmore Road,Vulcan Way,"Thornton Heath, Parchmore Road","New Addington, Vulcan Way",,5.0,5.0,5.0,0.0,3.0,16.041,9.968
131,regular,AL,Merton,Go-Ahead,DD,Tooting Broadway,Kingston,Tooting Broadway Station,Fairfield Bus Station,Tooting Broadway,"Kingston, Fairfield Bus Station",,7.5,7.0,7.0,0.0,5.0,12.745,7.919
132,regular,BX,Bexleyheath,Go-Ahead,DD,"Bexleyheath, Shopping Centre",North Greenwich,Geddes Place,North Greenwich Station,"Bexleyheath, Shopping Centre, Geddes Place",North Greenwich,,5.5,5.5,5.5,0.0,4.0,17.428,10.829
133,regular,QB,Battersea,Transport UK,DD,"Holborn, Red Lion Square",Streatham Station,Drake Street,,"Holborn, Red Lion Square, Drake Street",Streatham Station,,7.5,7.5,7.5,0.0,5.0,13.247,8.231
134,twentyfour,PB,Potters Bar,Metroline,DD,Warren Street,North Finchley,University College Hospital / Euston Rd,Tally Ho Corner,"Warren Street, University College Hospital / Euston Rd","North Finchley, Tally Ho Corner",,7.5,7.0,7.0,2.0,6.5,12.743,7.918
135,regular,HO,Lea Interchange,Stagecoach London,DD,"Old Street, Provost Street",Crossharbour,Moorfields Eye Hospital,Isle of Dogs Asda,"Old Street, Provost Street, Moorfields Eye Hospital","Crossharbour, Isle of Dogs Asda",,6.0,5.5,6.0,0.0,4.0,13.391,8.321
136,regular,TL,Catford,Stagecoach London,DD,Elephant & Castle,Grove Park,Elephant & Castle / Newington Causeway,Grove Park Station,Elephant & Castle,Grove Park,,6.0,6.5,6.0,0.0,4.0,16.926,10.518
137,regular,BN,Brixton Hill,Arriva,DD,Marble Arch,"Streatham Hill, Telford Avenue",Marble Arch Station / Park Lane,,Marble Arch,"Streatham Hill, Telford Avenue",,10.0,9.0,9.0,0.0,7.5,12.785,7.944
138,regular,TL,Catford,Stagecoach London,SD,Coney Hall,Bromley North,Chestnut Avenue,Bromley North Station,"Coney Hall, Chestnut Avenue",Bromley North,,2.0,2.0,2.0,0.0,2.0,7.805,4.85
139,twentyfour,W,Cricklewood,Metroline,DD,Waterloo,Golders Green,Waterloo Station / Waterloo Road,Golders Green Station,Waterloo,Golders Green,,5.0,5.5,5.5,2.0,4.5,12.509,7.773
140,regular,HD,Harrow Weald,Metroline,DD,"Harrow Weald, Bus Garage",Hayes & Harlington Station,Long Elmes,,"Harrow Weald, Bus Garage, Long Elmes",Hayes & Harlington Station,,7.0,6.5,6.5,0.0,4.5,15.603,9.695
141,regular,AD; WN,Palmers Green; Wood Green,Arriva,DD,London Bridge,"Palmers Green, North Circular Road",London Bridge Station,Tottenhall Road,London Bridge,"Palmers Green, North Circular Road, Tottenhall Road",,10.0,9.0,9.0,0.0,6.0,13.07,8.122
142,regular,EW,Edgware,Metroline,DD,"Brent Cross, Shopping Centre",Watford Junction,,Watford Junction Station,"Brent Cross, Shopping Centre",Watford Junction,,5.0,5.0,5.0,0.0,4.0,20.213,12.56
143,regular,W,Cricklewood,Metroline,SD,Archway,"Brent Cross, Shopping Centre",Archway Station,,Archway,"Brent Cross, Shopping Centre",,5.0,5.0,5.0,0.0,4.0,12.745,7.92
144,regular,NP,Northumberland Park,Go-Ahead,DD,Edmonton Green,Muswell Hill,Edmonton Green Bus Station,Muswell Hill Broadway,Edmonton Green,Muswell Hill,,6.5,6.0,6.0,0.0,6.0,10.784,6.701
145,regular,BK,Barking,Stagecoach London,DD,Leytonstone,"Dagenham, Asda",Leytonstone Station,,Leytonstone,"Dagenham, Asda",,5.0,5.0,5.0,0.0,4.5,19.611,12.186
146,regular,TB,Bromley,Stagecoach London,SD,Downe,Bromley North,Downe Church,Bromley North Station,Downe,Bromley North,,1.0,1.0,1.0,0.0,1.0,10.067,6.255
147,regular,RR,River Road,Go-Ahead,DD,Canning Town,Ilford,Canning Town Station,Hainault Street,Canning Town,"Ilford, Hainault Street",,7.5,7.5,7.5,0.0,5.5,10.883,6.763
148,twentyfour,S,Shepherd's Bush,First,DD,White City,Camberwell Green,White City Bus Station,Denmark Hill / Camberwell Green,White City,Camberwell Green,,5.0,5.0,5.0,3.0,5.0,14.261,8.861
149,twentyfour,AR,Tottenham,Arriva,DD,London Bridge,Edmonton Green,London Bridge Bus Station,Edmonton Green Bus Station,London Bridge,Edmonton Green,,8.5,8.5,7.5,2.5,6.0,14.181,8.812
150,regular,DX,Barking,Arriva,DD,Chigwell Row,Becontree Heath,Lambourne Road,Becontree Heath Leisure Centre,"Chigwell Row, Lambourne Road",Becontree Heath,,5.5,5.0,5.0,0.0,3.0,15.204,9.447
151,regular,A,Sutton,Go-Ahead,DD,Worcester Park,Wallington,Worcester Park Station,Shotfield,Worcester Park,"Wallington, Shotfield",,5.0,5.5,5.5,0.0,3.0,15.077,9.368
152,regular,AL,Merton,Go-Ahead,SD,"New Malden, Fountain Roundabout",Pollards Hill,Walton Avenue,South Lodge Avenue / Yorkshire Road,"New Malden, Fountain Roundabout, Walton Avenue","Pollards Hill, South Lodge Avenue / Yorkshire Road",,5.0,5.0,5.0,0.0,3.0,12.901,8.017
153,regular,HT,Holloway,Metroline,SD,Liverpool Street,Finsbury Park Station,Liverpool Street Station,Finsbury Park Interchange,Liverpool Street,"Finsbury Park Station, Finsbury Park Interchange",,4.5,4.0,4.0,0.0,4.0,8.76,5.443
154,regular,A,Sutton,Go-Ahead,DD,Morden,West Croydon,Morden Station,West Croydon Bus Station,Morden,West Croydon,,5.5,5.5,5.5,0.0,4.0,17.025,10.579
155,regular,SW,Stockwell,Go-Ahead,DD,Elephant & Castle,"Tooting, St. George's Hospital",Lambeth Road,St George's Hospital,"Elephant & Castle, Lambeth Road","Tooting, St. George's Hospital",,7.5,7.0,7.0,0.0,5.0,10.558,6.56
156,regular,QB,Battersea,Transport UK,DD,Vauxhall,Wimbledon,Vauxhall Bus Station,Wimbledon Station,Vauxhall,Wimbledon,,5.5,5.5,5.5,0.0,5.0,12.27,7.624
157,regular,AL,Merton,Go-Ahead,DD,Morden,Crystal Palace,Morden Station,Crystal Palace Parade,Morden,Crystal Palace,,5.0,5.0,5.0,0.0,4.0,18.983,11.795
158,twentyfour,EC,Edmonton,Arriva,DD,Stratford,Chingford Mount,Stratford Bus Station,,Stratford,Chingford Mount,,10.0,10.0,10.0,3.0,6.0,11.734,7.291
159,twentyfour,QB,Battersea,Transport UK,DD,Oxford Circus,Streatham Station,Oxford Circus Station,,Oxford Circus,Streatham Station,,7.0,6.5,6.5,3.0,5.0,11.827,7.349
160,regular,TL,Catford,Stagecoach London,DD,Sidcup Station,Catford Bridge,,Catford Bridge Station,Sidcup Station,Catford Bridge,,4.0,4.0,4.0,0.0,3.0,17.715,11.008
161,regular,PD,Plumstead,Stagecoach London,DD,North Greenwich,Chislehurst,North Greenwich Station,Chislehurst War Memorial,North Greenwich,Chislehurst,,5.0,5.5,5.0,0.0,5.0,17.55,10.905
162,regular,SM,Sydenham,Go-Ahead,SD,Eltham Station,Beckenham Junction,Eltham Bus Station,Beckenham Junction Stn / Rectory Rd,"Eltham Station, Eltham Bus Station",Beckenham Junction,,4.5,4.0,4.0,0.0,3.0,20.157,12.525
163,regular,AL,Merton,Go-Ahead,SD,Wimbledon,Morden,Francis Grove,Morden Station,"Wimbledon, Francis Grove",Morden,163S,6.5,6.0,6.5,0.0,5.0,8.235,5.117
164,regular,AL,Merton,Go-Ahead,SD,Wimbledon,Sutton Station,Francis Grove,Sutton Station / the Quadrant,"Wimbledon, Francis Grove",Sutton Station,,6.0,6.0,6.0,0.0,4.0,10.749,6.679
165,regular,RM,Rainham,Stagecoach London,SD,"Rainham, Abbey Wood Lane","Romford, The Brewery",Abbey Wood Lane,The Brewery,"Rainham, Abbey Wood Lane","Romford, The Brewery",,5.0,5.0,5.0,0.0,3.0,17.445,10.84
166,regular,TC,Croydon,Arriva,SD,West Croydon,Epsom Hospital,West Croydon Bus Station,,West Croydon,Epsom Hospital,,3.0,3.0,3.0,0.0,2.5,25.822,16.045
167,regular,BK,Barking,Stagecoach London,SD,Loughton,Ilford,Loughton Station,Hainault Street,Loughton,"Ilford, Hainault Street",,3.0,3.0,3.0,0.0,2.0,13.862,8.614
169,regular,BK,Barking,Stagecoach London,DD,Barking,"Clayhall, The Glade",Barking Town Centre,,Barking,"Clayhall, The Glade",,5.5,5.5,6.0,0.0,4.0,10.231,6.357
170,regular,SW,Stockwell,Go-Ahead,SD,Victoria,"Roehampton, Danebury Avenue",Victoria Station,Minstead Gardens,Victoria,"Roehampton, Danebury Avenue, Minstead Gardens",,6.0,6.0,6.0,0.0,5.0,13.493,8.384
171,regular,NX,New Cross,Go-Ahead,DD,Elephant & Castle,"Bellingham, Catford Bus Garage",Lambeth Road,Catford Garage,"Elephant & Castle, Lambeth Road","Bellingham, Catford Bus Garage, Catford Garage",,4.5,4.5,4.5,0.0,4.5,14.29,8.88
172,regular,NX,New Cross,Go-Ahead,DD,Aldwych,Brockley Rise,Aldwych / Drury Lane,Brockley Rise / Chandos,Aldwych,Brockley Rise,,6.5,6.0,6.0,0.0,4.0,11.327,7.038
173,regular,BK,Barking,Stagecoach London,DD,King George Hospital,Beckton Station,,Beckton Bus Station,King George Hospital,"Beckton Station, Beckton Bus Station",,5.5,5.0,5.5,0.0,4.0,15.562,9.67
174,regular,RM,Rainham,Stagecoach London,DD,"Dagenham, Marsh Way","Harold Hill, Dagnam Park Square",C E M E,Dagnam Park Square,"Dagenham, Marsh Way, C E M E","Harold Hill, Dagnam Park Square",,6.5,7.5,6.5,0.0,4.5,17.724,11.013
175,regular,DX,Barking,Arriva,DD,"Dagenham, New Road",Hillrise Estate,Ballards Road / Princess Parade,,"Dagenham, New Road, Ballards Road / Princess Parade",Hillrise Estate,,6.0,6.5,6.0,0.0,4.0,13.77,8.557
176,twentyfour,Q,Camberwell,Go-Ahead,DD,Tottenham Court Road,Penge,Tottenham Ct Rd Stn / Gt Russell St,Penge / Pawleyne Arms,"Tottenham Court Road, Tottenham Ct Rd Stn / Gt Russell St",Penge,,6.0,6.0,6.0,3.0,6.0,15.884,9.87
177,regular,PD,Plumstead,Stagecoach London,DD,Peckham,Thamesmead,Peckham Bus Station,Thamesmead Town Centre,Peckham,Thamesmead,,5.0,5.0,5.0,0.0,5.0,18.995,11.803
178,regular,MG,Morden Wharf (Greenwich),Go-Ahead,DD,"Lewisham, Shopping Centre",Woolwich,Lewisham Station,Thomas Street,"Lewisham, Shopping Centre, Lewisham Station","Woolwich, Thomas Street",,3.0,3.0,3.0,0.0,3.0,11.67,7.251
179,regular,BK,Barking,Stagecoach London,DD,Ilford,Chingford Station,Hainault Street,,"Ilford, Hainault Street",Chingford Station,,5.0,5.0,5.0,0.0,3.0,13.685,8.504
180,regular,PD,Plumstead,Stagecoach London,DD,North Greenwich,"Erith, Fraser Road",North Greenwich Station,Erith Quarry / Fraser Road,North Greenwich,"Erith, Fraser Road, Erith Quarry / Fraser Road",,6.0,6.0,6.0,0.0,4.0,19.001,11.807
181,regular,KB,Kangley Bridge Road,Stagecoach London,SD,Grove Park,"Lewisham, Shopping Centre",Grove Park Station,Lewisham Station,Grove Park,"Lewisham, Shopping Centre, Lewisham Station",,5.0,5.0,5.0,0.0,4.0,13.001,8.079
182,regular,HD,Harrow Weald,Metroline,DD,"Brent Cross, Shopping Centre","Harrow Weald, Oxhey Lane",,Bannister Playing Fields,"Brent Cross, Shopping Centre","Harrow Weald, Oxhey Lane, Bannister Playing Fields",,7.0,6.5,6.5,0.0,5.5,19.74,12.266
183,regular,SO,Harrow,First,DD,Pinner,Golders Green,Pinner Station / Bridge Street,Golders Green Station,Pinner,Golders Green,,6.0,6.0,6.0,0.0,5.0,17.395,10.809
184,regular,NP,Northumberland Park,Go-Ahead,SD,"Barnet, Chesterfield Road",Turnpike Lane Station,Chesterfield Road,,"Barnet, Chesterfield Road",Turnpike Lane Station,,5.5,5.5,6.0,0.0,5.0,16.152,10.036
185,regular,Q,Camberwell,Go-Ahead,DD,Victoria,"Lewisham, Shopping Centre",Victoria Station,Lewisham Station,Victoria,"Lewisham, Shopping Centre, Lewisham Station",,6.0,6.5,6.5,0.0,4.5,15.698,9.754
186,regular,HD,Harrow Weald,Metroline,DD,"Brent Cross, Shopping Centre",Northwick Park Hospital,,Northwick Park Hospital Social Club,"Brent Cross, Shopping Centre",Northwick Park Hospital,,5.0,5.0,5.0,0.0,4.0,20.559,12.775
187,regular,WJ,Willesden Junction,Metroline,SD,"Finchley Road, O2 Centre",Central Middlesex Hospital,O2 Centre / Sainsbury's,,"Finchley Road, O2 Centre, O2 Centre / Sainsbury's",Central Middlesex Hospital,,4.0,4.0,4.0,0.0,3.0,12.812,7.961
188,twentyfour,Q,Camberwell,Go-Ahead,DD,Tottenham Court Road,North Greenwich,,North Greenwich Station,Tottenham Court Road,North Greenwich,,6.5,6.0,6.0,3.5,5.0,16.129,10.022
189,twentyfour,W,Cricklewood,Metroline,DD,Marble Arch,"Brent Cross, Shopping Centre",Marble Arch Station,,Marble Arch,"Brent Cross, Shopping Centre",,6.5,6.5,6.0,2.0,5.0,11.984,7.447
190,regular,AH,Brentford,Metroline,SD,West Brompton,Richmond,Empress State Building / W Brompton Stn,Richmond Bus Station,"West Brompton, Empress State Building / W Brompton Stn",Richmond,,4.0,4.0,4.0,0.0,3.0,10.774,6.695
191,regular,E,Enfield,Arriva,DD,Brimsdown,Edmonton Green,Brimsdown Station,Edmonton Green Bus Station,Brimsdown,Edmonton Green,,6.5,6.0,6.5,0.0,4.0,15.825,9.833
192,regular,E,Enfield,Arriva,SD,Tottenham Hale,Enfield,Tottenham Hale Station,Little Park Gardens,Tottenham Hale,"Enfield, Little Park Gardens",,6.0,6.5,6.0,0.0,5.0,13.137,8.163
193,regular,NS,Romford,Stagecoach London,SD,County Park Estate,"Romford, Queen's Hospital",Essex Gardens,Queen's Hospital,"County Park Estate, Essex Gardens","Romford, Queen's Hospital",,5.5,6.0,6.0,0.0,3.0,12.797,7.952
194,regular,TC,Croydon,Arriva,DD,West Croydon,Lower Sydenham,West Croydon Bus Station,Bell Green / Sainsbury's,West Croydon,"Lower Sydenham, Bell Green / Sainsbury's",,5.0,5.0,5.0,0.0,3.0,18.484,11.485
195,regular,GW,Southall,Transport UK,SD,"Brentford, County Court",Charville Lane Estate,Half Acre,,"Brentford, County Court, Half Acre",Charville Lane Estate,,4.0,4.5,4.5,0.0,4.0,16.589,10.308
196,regular,N,Norwood,Arriva,DD,Norwood Junction,Elephant & Castle,Norwood Junction Station,Elephant & Castle / Newington Causeway,Norwood Junction,Elephant & Castle,,5.0,5.0,5.0,0.0,3.0,15.294,9.503
197,regular,PM,Peckham,Go-Ahead,DD,Croydon Town Centre,Peckham,Fairfield Halls,Peckham Bus Station,"Croydon Town Centre, Fairfield Halls",Peckham,,5.0,5.0,5.0,0.0,3.0,16.108,10.009
198,regular,N,Norwood,Arriva,DD,"Thornton Heath, High Street",Shrublands,Talbot Road,Shrublands / Bramble Close,"Thornton Heath, High Street, Talbot Road",Shrublands,,5.0,5.0,5.0,0.0,3.0,11.192,6.955
199,regular,TL,Catford,Stagecoach London,DD,"Bellingham, Catford Bus Garage",Canada Water,Catford Garage,Canada Water Bus Station,"Bellingham, Catford Bus Garage, Catford Garage",Canada Water,,5.0,5.0,5.0,0.0,4.0,10.757,6.684
200,regular,AL,Merton,Go-Ahead,DD,Mitcham,Raynes Park,Mitcham Fair Green,Lambton Road,Mitcham,"Raynes Park, Lambton Road",,6.5,7.0,6.5,0.0,5.0,12.013,7.465
201,regular,BC,Beddington,Transport UK,SD,Herne Hill,Morden,Dulwich Road,London Road / Morden Station,"Herne Hill, Dulwich Road",Morden,,3.5,3.5,3.5,0.0,3.0,12.923,8.03
202,regular,N,Norwood,Arriva,DD,"Blackheath, Royal Standard",Crystal Palace,,Crystal Palace Parade,"Blackheath, Royal Standard",Crystal Palace,,6.5,6.0,6.0,0.0,4.0,13.475,8.373
203,regular,AV,Hounslow,First,DD,Staines,"Hounslow, Bus Station",Staines Bus Station,,Staines,"Hounslow, Bus Station",,3.0,3.0,3.0,0.0,2.0,15.722,9.769
204,regular,EW,Edgware,Metroline,DD,Edgware,Sudbury Town Station,Edgware Station,,Edgware,Sudbury Town Station,,6.0,5.5,6.0,0.0,4.0,14.287,8.877
205,regular,BW,Bow,Stagecoach London,DD,Bow Church,Marble Arch,Bow Church Station,Marble Arch Station,Bow Church,Marble Arch,,5.5,5.5,5.5,0.0,5.0,12.959,8.052
206,regular,WJ,Willesden Junction,Metroline,SD,Kilburn Park,"Wembley Park, The Paddocks",Kilburn Park Station,The Paddocks,Kilburn Park,"Wembley Park, The Paddocks",,5.0,4.5,4.5,0.0,3.0,14.544,9.037
207,regular,GW,Southall,Transport UK,DD,White City,Hayes By-Pass,White City Bus Station,,White City,Hayes By-Pass,,7.5,7.5,7.5,0.0,6.0,14.286,8.877
208,regular,MB,Orpington,Go-Ahead,DD,"Orpington, Perry Hall Road",Lewisham Station,,,"Orpington, Perry Hall Road",Lewisham Station,,5.0,5.0,5.0,0.0,4.0,18.597,11.555
209,regular,SW,Stockwell,Go-Ahead,SD,Putney Bridge,Mortlake,Lonsdale Road,Mortlake Bus Station,"Putney Bridge, Lonsdale Road",Mortlake,,2.0,2.0,2.0,0.0,2.0,3.064,1.904
210,regular,W,Cricklewood,Metroline,DD,"Brent Cross, Shopping Centre",Finsbury Park Station,,,"Brent Cross, Shopping Centre",Finsbury Park Station,,6.0,6.0,6.0,0.0,5.0,12.139,7.543
211,regular,QB,Battersea,Transport UK,DD,Battersea Power Station,Hammersmith,,Hammersmith Bus Station,Battersea Power Station,Hammersmith,,6.5,5.5,5.5,0.0,4.0,11.448,7.114
212,regular,NP,Northumberland Park,Go-Ahead,DD,"Walthamstow, St James Street Station",Chingford Station,St James Street Station,,"Walthamstow, St James Street Station",Chingford Station,,6.5,7.5,7.0,0.0,4.0,9.272,5.761
213,twentyfour,A,Sutton,Go-Ahead,DD,"Sutton, Bushey Road",Kingston,Sutton Bus Garage,Fairfield Bus Station,"Sutton, Bushey Road, Sutton Bus Garage","Kingston, Fairfield Bus Station",,5.0,5.0,5.0,2.5,5.0,14.66,9.109
214,twentyfour,RA,Waterloo,Go-Ahead,SD,"Moorgate, Finsbury Square",Highgate Village,Finsbury Square,Highgate School,"Moorgate, Finsbury Square","Highgate Village, Highgate School",,8.0,8.0,8.0,2.0,5.0,9.493,5.899
215,regular,T,Leyton,Stagecoach London,DD,Walthamstow Central,Lee Valley Camp Site,Walthamstow Bus Station,,"Walthamstow Central, Walthamstow Bus Station",Lee Valley Camp Site,,3.0,3.0,3.0,0.0,2.0,8.858,5.504
216,regular,FW,Fulwell,First,SD,Kingston,Staines,Cromwell Road Bus Station,Staines Bus Station,"Kingston, Cromwell Road Bus Station",Staines,,3.0,3.0,3.0,0.0,2.0,20.971,13.031
217,regular,E,Enfield,Arriva,DD,Turnpike Lane Station,Waltham Cross,Turnpike Lane Bus Station,Waltham Cross Bus Station,"Turnpike Lane Station, Turnpike Lane Bus Station",Waltham Cross,,5.0,5.0,5.0,0.0,3.5,14.075,8.746
218,regular,X,Westbourne Park,First,SD,North Acton,Hammersmith,North Acton Station,Hammersmith Bus Station,North Acton,Hammersmith,,5.0,5.0,5.0,0.0,5.0,9.016,5.602
219,regular,AL,Merton,Go-Ahead,SD,Clapham Junction,Wimbledon,Falcon Lane,Francis Grove,"Clapham Junction, Falcon Lane","Wimbledon, Francis Grove",,5.0,5.0,5.0,0.0,4.0,9.934,6.173
220,twentyfour,V,Stamford Brook,First,DD,Wandsworth,Willesden Junction,Mapleton Crescent,Willesden Junction Station,"Wandsworth, Mapleton Crescent",Willesden Junction,,6.5,6.5,6.5,2.5,6.0,12.343,7.67
221,regular,WN,Wood Green,Arriva,DD,Turnpike Lane Station,Edgware,,Edgware Station,Turnpike Lane Station,Edgware,,7.5,7.5,7.5,0.0,5.0,17.13,10.644
222,twentyfour,UX,Uxbridge Industrial Estate,Metroline,DD,"Hounslow, Bus Station",Uxbridge,,Belmont Road,"Hounslow, Bus Station","Uxbridge, Belmont Road",,6.0,6.0,6.0,3.0,5.0,17.066,10.605
223,regular,WJ,Willesden Junction,Metroline,SD,Wembley Central,Harrow,Wembley Central Station,Harrow View West,Wembley Central,Harrow,,3.0,3.0,3.0,0.0,2.0,13.844,8.602
224,regular,AO,Athlon Road,Metroline,SD,St Raphael's,"Alperton, Sainsbury's",Mitchell Way,,"St Raphael's, Mitchell Way","Alperton, Sainsbury's",,3.0,3.0,3.0,0.0,2.5,12.452,7.737
225,regular,TL,Catford,Stagecoach London,SD,Canada Water,Hither Green,Canada Water Bus Station,Springbank Road / Hither Green Station,Canada Water,Hither Green,,3.0,3.0,3.0,0.0,3.0,8.929,5.548
226,regular,BT,Edgware,First,SD,Golders Green,Ealing Broadway,Golders Green Station,Haven Grn / Ealing Broadway Stn,Golders Green,Ealing Broadway,,5.5,5.0,5.0,0.0,3.0,15.989,9.935
227,regular,SM,Sydenham,Go-Ahead,SD,Crystal Palace,Bromley North,,Bromley North Station,Crystal Palace,Bromley North,,7.0,6.5,6.5,0.0,4.5,8.885,5.521
228,regular,WJ,Willesden Junction,Metroline,SD,"Maida Hill, Chippenham Gardens",Central Middlesex Hospital,Chippenham Road / Shirland Road,,"Maida Hill, Chippenham Gardens, Chippenham Road / Shirland Road",Central Middlesex Hospital,,2.0,2.0,2.0,0.0,2.0,14.881,9.247
229,regular,DT,Dartford,Arriva,DD,Queen Mary's Hospital,Thamesmead,Queen Mary's Hospital / Chislehurst Road,Thamesmead Town Centre,Queen Mary's Hospital,Thamesmead,,5.0,5.0,5.0,0.0,4.0,21.548,13.389
230,regular,NP,Northumberland Park,Go-Ahead,DD,Wood Green,Upper Walthamstow,Wood Green Station,Fyfield Road,Wood Green,"Upper Walthamstow, Fyfield Road",,4.0,4.0,4.0,0.0,4.0,11.919,7.406
231,regular,PB,Potters Bar,Metroline,DD,Turnpike Lane Station,Enfield Chase,Turnpike Lane Bus Station,Enfield Chase Station,"Turnpike Lane Station, Turnpike Lane Bus Station",Enfield Chase,,4.0,4.0,4.0,0.0,3.0,10.243,6.364
232,regular,NP,Northumberland Park,Go-Ahead,SD,Turnpike Lane Station,St Raphael's,,Mitchell Way,Turnpike Lane Station,"St Raphael's, Mitchell Way",,5.0,5.0,5.0,0.0,3.0,21.565,13.4
233,regular,MB,Orpington,Go-Ahead,SD,Swanley,Eltham Station,Beechenlea Lane,Eltham Bus Station,"Swanley, Beechenlea Lane","Eltham Station, Eltham Bus Station",,3.0,2.5,2.5,0.0,2.5,14.681,9.122
234,regular,HT,Holloway,Metroline,SD,Archway Station,"Barnet, The Spires",,The Spires,Archway Station,"Barnet, The Spires",,5.0,5.0,5.0,0.0,3.0,14.92,9.271
235,regular,WK,Hounslow Heath,First,SD,North Brentford Quarter,Sunbury Village,Great West Quarter,Three Fishes,"North Brentford Quarter, Great West Quarter","Sunbury Village, Three Fishes",,7.5,7.0,7.5,0.0,5.0,15.84,9.843
236,regular,HO,Lea Interchange,Stagecoach London,SD,Hackney Wick,Finsbury Park Station,,Finsbury Park Interchange,Hackney Wick,"Finsbury Park Station, Finsbury Park Interchange",,6.0,6.0,6.0,0.0,5.0,11.157,6.933
237,regular,AH,Brentford,Metroline,DD,White City,Hounslow Heath,White City Bus Station,Hounslow Heath / the Hussar,White City,Hounslow Heath,,6.5,6.5,6.5,0.0,4.5,14.895,9.255
238,twentyfour,BK,Barking,Stagecoach London,DD,Barking,Stratford,Barking Station,Stratford Bus Station,Barking,Stratford,,6.0,6.0,6.0,2.5,4.0,7.634,4.744
240,regular,EW,Edgware,Metroline,DD,Edgware,Golders Green,Edgware Station,Golders Green Station,Edgware,Golders Green,,4.5,4.0,4.0,0.0,3.0,12.359,7.679
241,regular,WH,West Ham,Stagecoach London,DD,"Silvertown, Royal Wharf","Hackney Wick, Here East",Royal Crest Avenue,Here East,"Silvertown, Royal Wharf, Royal Crest Avenue","Hackney Wick, Here East",,5.5,6.0,5.0,0.0,5.0,12.06,7.494
242,regular,HK,Ash Grove,Stagecoach London,DD,Aldgate,Homerton Hospital,Aldgate Station,,Aldgate,Homerton Hospital,,5.0,5.0,5.0,0.0,4.5,9.231,5.736
243,twentyfour,AR,Tottenham,Arriva,DD,Waterloo,Wood Green,Waterloo Station / Mepham Street,Wood Green Station,Waterloo,Wood Green,,7.0,7.5,7.5,3.0,7.5,15.893,9.875
244,regular,MG,Morden Wharf (Greenwich),Go-Ahead,SD,Abbey Wood,Queen Elizabeth Hospital,Abbey Wood Road,Queen Elizabeth Hospital / West Entrance,Abbey Wood,Queen Elizabeth Hospital,,5.5,5.0,5.5,0.0,4.0,13.697,8.511
245,regular,AO; PV,Athlon Road; Perivale [East],Metroline,DD,Golders Green,"Alperton, Sainsbury's",Golders Green Station,Glacier Way,Golders Green,"Alperton, Sainsbury's, Glacier Way",,6.0,6.5,6.0,0.0,5.0,15.215,9.454
246,regular,TB,Bromley,Stagecoach London,SD,Chartwell,Bromley North,Westerham Green,Bromley North Station,"Chartwell, Westerham Green",Bromley North,,2.0,2.0,2.0,0.0,1.0,24.74,15.373
247,regular,NS,Romford,Stagecoach London,DD,Romford Station,Barkingside,,Barkingside Station,Romford Station,Barkingside,,5.5,5.5,6.0,0.0,3.0,13.252,8.234
248,regular,GY,Grays,Arriva,DD,Cranham,Romford Market,Moor Lane,,"Cranham, Moor Lane",Romford Market,,7.5,7.5,7.5,0.0,4.0,11.13,6.916
249,regular,N,Norwood,Arriva,DD,Anerley Station,Clapham Common,Jasmine Grove,Clapham Common Old Town,"Anerley Station, Jasmine Grove",Clapham Common,,6.0,6.0,6.0,0.0,5.0,13.083,8.129
250,regular,TH,Thornton Heath,Arriva,DD,Croydon Town Centre,Brixton,West Croydon Bus Station,Brixton Station,"Croydon Town Centre, West Croydon Bus Station",Brixton,,8.5,8.5,8.0,0.0,5.0,11.963,7.434
251,regular,EW,Edgware,Metroline,SD,Edgware,Arnos Grove,Edgware Station,Arnos Grove Station,Edgware,Arnos Grove,,5.5,5.0,5.0,0.0,3.0,14.787,9.188
252,regular,RM,Rainham,Stagecoach London,DD,"Hornchurch, Town Centre",Collier Row,,Collier Row / Clockhouse Lane,"Hornchurch, Town Centre",Collier Row,,6.0,6.0,6.0,0.0,4.0,13.607,8.455
253,regular,CT,Clapton,Arriva,DD,Euston,Hackney Central,Euston Bus Station,Hackney Central Station,Euston,Hackney Central,,8.0,7.0,7.5,0.0,7.5,12.142,7.544
254,regular,SF,Stamford Hill,Arriva,DD,"Holloway, Nags Head",Aldgate,Caledonian Road,Aldgate Station,"Holloway, Nags Head, Caledonian Road",Aldgate,,7.5,7.5,7.5,0.0,7.5,12.885,8.006
255,regular,TH,Thornton Heath,Arriva,SD,Balham,Pollards Hill,Balham Station / Balham Station Road,South Lodge Avenue / Yorkshire Road,Balham,"Pollards Hill, South Lodge Avenue / Yorkshire Road",,4.5,4.5,4.5,0.0,4.0,9.34,5.804
256,regular,NS; RM,Rainham; Romford,Stagecoach London,DD,Noak Hill,"Hornchurch, St George's Park",Wincanton Road,St George's Park,"Noak Hill, Wincanton Road","Hornchurch, St George's Park",,5.0,5.0,5.0,0.0,2.5,11.139,6.921
